feature,importance
last_visit_days,0.6146851913072
product_sales_qty_30,0.1815216348613262
total_stock_qty,0.1329891205835707
sales_qty_30,0.035984300275393684
engagement_rate,0.013131096958891707
sales_value_30,0.007000164895158993
total_clicked,0.004519107699091583
sales_qty_7,0.00182043587101983
sales_value_7,0.0017994970415955325
avg_farm_size,0.0012866916775901994
sales_growth_ratio,0.0012211623085401494
transactions_30,0.001121763379629046
total_messages,0.0006229792799834497
grower_count,0.0006171893871012813
campaign_attendance,0.00045657448319206964
unique_skus,0.0004412152306654531
total_opened,0.00036235281609562817
product_scans,0.00027307624413429673
transactions_7,0.00014644569982027463
